date_of_day,daily_shrinkage_in_euros,daily_sales_in_euros,daily_stock_in_euros
2020-01-02,-925.6619999999998,32850.077000000005,98679.088
2020-01-03,-4435.676800000001,31077.26,91408.96899999997
2020-01-06,-1797.9962000000003,38821.733,102284.40500000001
2020-01-07,-1708.7862999999998,26094.23,85760.40900000003
2020-01-08,-839.8867,30270.452999999998,82594.888
2020-01-09,-1087.1503,29162.0,85750.581
2020-01-10,-2644.2443000000007,18242.0,64964.885
2020-01-13,-313.7294,39469.806,107176.49300000002
2020-01-14,-1116.8736999999999,35434.81,87813.97800000002
2020-01-15,-1197.4356000000002,25081.0,76145.43699999999
2020-01-16,-657.5253,41239.289,95464.41500000001
2020-01-17,-1042.1242,23136.703,77003.899
2020-01-20,-501.417,51498.143,97982.41100000002
2020-01-21,-1028.7316,30925.176000000003,82855.93800000001
2020-01-22,-761.4963999999999,33412.013999999996,94605.70300000001
2020-01-23,-807.1419999999999,31381.194,88830.943
2020-01-24,-1298.0796000000003,20504.0,80810.31999999999
2020-01-27,-249.9645,36640.82,92025.58799999999
2020-01-28,-199.9579,48451.75,99546.169
2020-01-29,-20.215700000000002,29777.523,85679.05199999997
2020-01-30,0.0,28780.0,76422.091
2020-01-31,-196.9164,19866.0,73671.49100000001
